init,Compacidad,Tolerancia,Disimilitud,Balance
random_dense,387.0,78.0,157.9964539007092,825.3616895528398
random_dense,419.0,79.0,159.1258865248227,593.519613575776
random_dense,313.0,63.0,121.28989361702128,350.8140113362001
random_dense,308.0,51.0,120.8413120567376,351.10336423595334
random_dense,491.0,103.0,188.15602836879432,990.4614707509672
random_dense,302.0,57.0,119.4609929078014,343.46479050349615
random_dense,430.0,78.0,172.4964539007092,926.8670087017748
random_dense,454.0,91.0,173.66400709219857,749.655725787182
random_dense,351.0,51.0,138.72163120567376,496.84804272923935
random_dense,382.0,70.0,156.18085106382978,756.6339595593782
random_dense,333.0,71.0,130.1054964539007,427.0128066684276
random_dense,317.0,50.0,125.68262411347516,388.7467902771492
random_dense,465.0,80.0,180.31471631205676,886.2369465507267
random_dense,373.0,70.0,151.64361702127658,742.287884789498
random_dense,420.0,79.0,170.66489361702128,940.3877037120872
random_dense,350.0,48.0,137.12943262411346,457.8165805291489
random_dense,379.0,76.0,151.5540780141844,721.6477847882394
random_dense,416.0,63.0,165.12765957446808,729.4269654443939
random_dense,425.0,63.0,166.81117021276594,757.6531730986874
random_dense,352.0,63.0,142.43971631205673,615.1577133946977
random_dense,433.0,98.0,168.37677304964538,816.413893132892
random_dense,458.0,101.0,174.43794326241135,809.0316099542268
random_dense,388.0,57.0,154.5363475177305,674.6937143189471
random_dense,335.0,67.0,132.06914893617022,435.2682680700162
random_dense,487.0,96.0,187.84574468085103,1015.618049268144
random_dense,379.0,56.0,150.19326241134752,576.0406638247574
random_dense,429.0,84.0,171.92021276595744,941.8624283235253
random_dense,372.0,81.0,143.99202127659575,520.3181987513203
random_dense,367.0,56.0,141.11170212765958,480.6435510034704
random_dense,422.0,94.0,162.46010638297872,669.936351761733
random_dense,350.0,70.0,135.40425531914894,450.8153010411948
random_dense,385.0,74.0,155.78102836879432,802.554001779337
random_dense,391.0,63.0,157.5913120567376,757.7718039522672
random_dense,332.0,48.0,132.59308510638297,445.4806968650981
random_dense,389.0,62.0,156.0363475177305,680.855948361501
random_dense,417.0,74.0,167.8315602836879,849.6241103314743
random_dense,336.0,55.0,129.84397163120568,402.5004778431671
random_dense,354.0,67.0,136.4131205673759,466.1059271414921
random_dense,362.0,67.0,143.84663120567376,556.4684992895228
random_dense,410.0,61.0,162.47783687943263,734.5970265265823
