Compacidad,Tolerancia,Disimilitud,Balance,init_cross
429.0,102.0,168.17287234042553,685.72454777803,random_dense+UX
383.0,80.0,159.7065602836879,655.28889313289,random_dense+UX
399.0,92.0,152.61790780141845,505.8832608709324,random_dense+UX
347.0,81.0,146.729609929078,592.3994069400419,random_dense+UX
359.0,90.0,145.33333333333334,501.1903073286037,random_dense+UX
309.0,70.0,131.9636524822695,454.3843171558274,random_dense+UX
447.0,106.0,182.2304964539007,906.7518359237466,random_dense+UX
315.0,73.0,121.28812056737588,288.03489434007344,random_dense+UX
287.0,57.0,116.0035460992908,270.29785976560464,random_dense+UX
329.0,81.0,136.4459219858156,481.9208344336297,random_dense+UX
416.0,94.0,166.79432624113474,663.266208943213,random_dense+UX
323.0,80.0,127.20567375886525,332.7662089432115,random_dense+UX
266.0,57.0,113.6436170212766,315.5715727327597,random_dense+UX
443.0,105.0,176.69414893617022,754.3009586728539,random_dense+UX
420.0,104.0,169.47163120567376,739.9442306725012,random_dense+UX
306.0,78.0,128.48492907801418,427.086652299935,random_dense+UX
290.0,71.0,114.90248226950357,268.24935554046584,random_dense+UX
286.0,72.0,120.7686170212766,349.0501853214128,random_dense+UX
257.0,61.0,106.67819148936172,237.04271587822515,random_dense+UX
365.0,71.0,144.35195035460993,429.2901380400885,random_dense+UX
301.0,56.0,126.2349290780142,364.84108492404806,random_dense+UX
347.0,70.0,145.35638297872342,512.5538422363063,random_dense+UX
395.0,94.0,165.22340425531914,759.5883884110456,random_dense+UX
367.0,92.0,153.01418439716312,614.6097278808913,random_dense+UX
410.0,83.0,158.66932624113474,528.6113995460498,random_dense+UX
361.0,82.0,138.6586879432624,384.62907345581226,random_dense+UX
255.0,48.0,106.71985815602837,256.1201021075397,random_dense+UX
423.0,93.0,173.8554964539007,783.0597924840297,random_dense+UX
370.0,82.0,150.52304964539007,510.2760644585287,random_dense+UX
332.0,66.0,131.95921985815602,360.4912447814498,random_dense+UX
