Compacidad,Tolerancia,Disimilitud,Balance,init_cross
24.0,3.0,12.191489361702128,6.374679342085418,greedy_multi+1P
9.0,1.0,4.571808510638298,2.009027934963025,greedy_multi+1P
24.0,6.0,12.183510638297872,8.02926710804287,greedy_multi+1P
37.0,8.0,18.740248226950357,15.440507739801827,greedy_multi+1P
22.0,5.0,11.076241134751774,4.852343317740563,greedy_multi+1P
32.0,8.0,16.20567375886525,11.259116744630504,greedy_multi+1P
27.0,6.0,13.7145390070922,10.680923369045832,greedy_multi+1P
26.0,6.0,12.26950354609929,5.562119611689589,greedy_multi+1P
27.0,5.0,12.8395390070922,5.914855106634478,greedy_multi+1P
14.0,2.0,6.63386524822695,2.888108464111467,greedy_multi+1P
42.0,9.0,20.98404255319149,16.286979402444523,greedy_multi+1P
33.0,9.0,16.31560283687943,9.574153714601866,greedy_multi+1P
38.0,10.0,19.16223404255319,13.740524087067977,greedy_multi+1P
29.0,7.0,14.662234042553193,7.71658791685533,greedy_multi+1P
7.0,1.0,3.381205673758865,1.5816325889039693,greedy_multi+1P
25.0,3.0,12.7145390070922,9.808582943513894,greedy_multi+1P
31.0,4.0,15.710106382978724,10.485997151803195,greedy_multi+1P
16.0,1.0,8.14627659574468,5.530908122076371,greedy_multi+1P
35.0,7.0,16.204787234042552,8.418168571751947,greedy_multi+1P
38.0,8.0,18.29787234042553,11.6311302248378,greedy_multi+1P
33.0,8.0,15.63563829787234,8.025928493285033,greedy_multi+1P
34.0,6.0,17.210106382978722,11.956741832654352,greedy_multi+1P
43.0,10.0,20.82003546099291,15.351478012926908,greedy_multi+1P
43.0,10.0,21.50443262411348,17.749980351843394,greedy_multi+1P
