Compacidad,Tolerancia,Disimilitud,Balance,init_cross
436.0,98.0,0.3615679289478821,0.0028241830389587,random_dense+UX
289.0,57.0,0.3138972735527252,0.0016728414828758,random_dense+UX
294.0,57.0,0.3141825879287885,0.001670904245115,random_dense+UX
136.0,27.0,0.4347361284939507,0.0048388181359452,random_dense+UX
181.0,46.0,0.4450550527016966,0.0053586189825739,random_dense+UX
163.0,41.0,0.4434255754253143,0.0056814663558535,random_dense+UX
135.0,29.0,0.4324533753611768,0.004717823967559,random_dense+UX
432.0,97.0,0.3614948614394536,0.0027910634850725,random_dense+UX
143.0,32.0,0.4359532311659971,0.0050134929545426,random_dense+UX
424.0,96.0,0.3623293857888398,0.0027692046764444,random_dense+UX
383.0,86.0,0.3560936429457623,0.0025375052074246,random_dense+UX
430.0,98.0,0.3623948540326571,0.0028500325993202,random_dense+UX
376.0,84.0,0.3517004300588501,0.0024945761828701,random_dense+UX
282.0,59.0,0.3424280720285699,0.0022068282757275,random_dense+UX
146.0,31.0,0.4389147964636161,0.0051895762570178,random_dense+UX
160.0,36.0,0.4116245567375887,0.0039276467196616,random_dense+UX
191.0,44.0,0.4145222977238127,0.0039923128949863,random_dense+UX
402.0,89.0,0.3556486186090822,0.0025093519173217,random_dense+UX
195.0,46.0,0.4125795599199854,0.0040432411895816,random_dense+UX
221.0,55.0,0.4033046115336478,0.0038987024745135,random_dense+UX
230.0,53.0,0.3855958988590811,0.0032034638322736,random_dense+UX
328.0,68.0,0.3312332425185953,0.0019767371443516,random_dense+UX
170.0,42.0,0.4399718397997497,0.0051430002622437,random_dense+UX
136.0,28.0,0.4336866395494367,0.0047472699216235,random_dense+UX
323.0,70.0,0.3412955887842259,0.0022761706894469,random_dense+UX
144.0,31.0,0.4367735421591804,0.004968902201655,random_dense+UX
149.0,34.0,0.42218810985768,0.0043387461225107,random_dense+UX
331.0,71.0,0.3401791262239935,0.0021295730736792,random_dense+UX
420.0,96.0,0.3611068895643364,0.0027268444630757,random_dense+UX
415.0,94.0,0.3628791762795864,0.0027675935743862,random_dense+UX
358.0,77.0,0.3376594754150323,0.0020601466064203,random_dense+UX
271.0,60.0,0.3785853550024862,0.003021741812125,random_dense+UX
318.0,66.0,0.3281201213256612,0.0018941346722722,random_dense+UX
189.0,48.0,0.431657848324515,0.0047302212385017,random_dense+UX
154.0,38.0,0.4377532928064843,0.0050813938149882,random_dense+UX
348.0,74.0,0.3349739137523437,0.0020868319252558,random_dense+UX
162.0,38.0,0.4395795026705192,0.0048495502388253,random_dense+UX
307.0,62.0,0.3235295816295885,0.0018458996454398,random_dense+UX
250.0,59.0,0.3974645390070921,0.0037912877496101,random_dense+UX
223.0,52.0,0.3927424227968069,0.003249571836337,random_dense+UX
371.0,82.0,0.3538428819942268,0.0026080750825718,random_dense+UX
394.0,88.0,0.359989829715232,0.0026663398403781,random_dense+UX
361.0,80.0,0.3489494312488949,0.002314157840904,random_dense+UX
225.0,54.0,0.395354609929078,0.0034903194842647,random_dense+UX
141.0,30.0,0.4260411951109099,0.0045111134437241,random_dense+UX
326.0,69.0,0.3303746247226211,0.0018713144178921,random_dense+UX
297.0,58.0,0.3159013300857272,0.001698019699658,random_dense+UX
399.0,91.0,0.3674745374073481,0.0029026105866017,random_dense+UX
411.0,94.0,0.360142620489724,0.0026627423063019,random_dense+UX
301.0,61.0,0.3363109964421196,0.002026709690517,random_dense+UX
355.0,77.0,0.3390795125362101,0.0021344258741715,random_dense+UX
226.0,56.0,0.4062009665474173,0.0038272739047627,random_dense+UX
387.0,85.0,0.350113163633698,0.002389838486969,random_dense+UX
147.0,34.0,0.4343911323394606,0.0047896482389785,random_dense+UX
321.0,64.0,0.3261168555710214,0.0018177713369231,random_dense+UX
288.0,64.0,0.3632935628447596,0.0027400500330694,random_dense+UX
371.0,81.0,0.3368483684119975,0.0021681443942285,random_dense+UX
151.0,37.0,0.4370332534873891,0.0049425062618369,random_dense+UX
240.0,53.0,0.3693594858156028,0.0029735499218396,random_dense+UX
152.0,35.0,0.4283198021649869,0.0044366015044971,random_dense+UX
408.0,92.0,0.358577562230566,0.0026342389785242,random_dense+UX
156.0,36.0,0.4326241134751772,0.0046409178249638,random_dense+UX
405.0,87.0,0.3487194641449961,0.0024397801377501,random_dense+UX
203.0,45.0,0.4142953219438912,0.0037996776961812,random_dense+UX
