Compacidad,Tolerancia,Disimilitud,Balance
297.0,56.0,110.02570921985816,263.090651092752
441.0,97.0,165.73936170212767,745.5668194507324
308.0,50.0,118.56560283687944,347.3290296011264
355.0,61.0,135.48581560283688,496.125685327699
380.0,67.0,136.52659574468086,392.9567394748755
273.0,55.0,104.17375886524823,316.9627156581666
323.0,49.0,126.76241134751773,471.40809063930396
419.0,76.0,151.5913120567376,508.44556281751363
367.0,85.0,133.55230496453902,400.14974646018834
299.0,67.0,112.28634751773049,330.06605474447946
374.0,87.0,141.50709219858157,530.3208716865344
333.0,77.0,119.47251773049645,312.6180390511043
380.0,79.0,140.2304964539007,444.2482898244559
300.0,70.0,110.12056737588652,254.45709471354564
351.0,76.0,136.95478723404256,567.1016792100505
276.0,49.0,104.88297872340425,257.3054549569942
399.0,76.0,151.22163120567376,602.5856313817216
363.0,80.0,129.38475177304966,343.3165050802278
400.0,89.0,142.625,451.72905585106383
424.0,98.0,157.85106382978722,655.8253357476991
391.0,64.0,146.41046099290782,504.07531609954214
265.0,57.0,99.01773049645391,235.60961470751005
425.0,89.0,154.60106382978722,559.042977591671
312.0,64.0,121.35372340425532,445.02470244831756
354.0,54.0,131.7171985815603,389.2524701662404
326.0,70.0,114.9982269503546,266.5248195513301
336.0,77.0,127.31648936170212,430.9858273917313
452.0,98.0,166.74290780141843,691.2849674312153
368.0,63.0,143.90336879432624,586.1280737576071
448.0,89.0,167.05939716312056,745.7916847429717
342.0,67.0,125.14450354609929,342.97291305140567
399.0,87.0,154.36081560283688,679.5036773489762
